district,,hhsize
Abbottabad,,
Attock,,
Awaran,,
Badin,,
Bahawalnagar,,
Bahawalpur,,
Bajaur Agency,,
Bannu,,
Barkhan,,
Batagram,,
Bhakkar,,
Buner,,
Chagai,,
Chakwal,,
Charsadda,,
Chiniot,,
Chitral,,
Dadu,,
Dera Bugti,,
Dera Ghazi Khan,,
Dera Ismail Khan,,
Faisalabad,,
FR Bannu,,
FR Dera Ismail Khan,,
FR Kohat,,
FR Lakki Marwat,,
FR Peshawar,,
FR Tank,,
Ghotki,,
Gujranwala,,
Gujrat,,
Gwadar,,
Hafizabad,,
Hangu,,
Haripur,,
Harnai,,
Hyderabad,,
Islamabad,,
Jacobabad,,
Jaffarabad,,
Jamshoro,,
Jhal Magsi,,
Jhang,,
Jhelum,,
Kachhi,,
Kalat,,
Karachi City,,
Karak,,
Kashmore,,
Kasur,,
Kech,,
Khairpur,,
Khanewal,,
Kharan,,
Khushab,,
Khuzdar,,
Khyber Agency,,
Killa Abdullah,,
Killa Saifullah,,
Kohat,,
Kohistan,,
Kohlu,,
Kurram Agency,,
Lahore,,
Lakki Marwat,,
Larkana,,
Las Bela,,
Layyah,,
Lehri,,
Lodhran,,
Loralai,,
Lower Dir,,
Malakand PA,,
Mandi Bahauddin,,
Mansehra,,
Mardan,,
Mastung,,
Matiari,,
Mianwali,,
Mirpur Khas,,
Mohmand Agency,,
Multan,,
Musakhel,,
Muzaffargarh,,
Nankana Sahib,,
Narowal,,
Nasirabad,,
Naushahro Feroze,,
North Waziristan Agency,,
Nowshera,,
Nushki,,
Okara,,
Orakzai Agency,,
Pakpattan,,
Panjgur,,
Peshawar,,
Pishin,,
Qambar Shahdadkot,,
Quetta,,
Rahim Yar Khan,,
Rajanpur,,
Rawalpindi,,
Sahiwal,,
Sanghar,,
Sargodha,,
Shaheed Benazirabad,,
Shangla,,
Sheerani,,
Sheikhupura,,
Shikarpur,,
Sialkot,,
Sibi,,
Sohbatpur,,
South Waziristan Agency,,
Sujawal,,
Sukkur,,
Swabi,,
Swat,,
Tando Allah Yar,,
Tando Muhammad Khan,,
Tank,,
Tharparkar,,
Thatta,,
Toba Tek Singh,,
Tor Ghar,,
Umerkot,,
Upper Dir,,
Vehari,,
Washuk,,
Zhob,,
Ziarat,,
